"MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","Fence","MiscFeature","MoSold","SaleType","SaleCondition","type","housse_age","garage_age","remod_since"
"20","RL",91,10652,"No.alley.access","IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story","7","5","Gable","VinylSd","VinylSd","Stone","2","Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf","No",1494,1494,"Ex","Y","SBrkr",1494,0,"No",1494,"0","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","3",840,"TA","TA","Y",160,"Yes","No","No","No","None","None","8","New","Partial","train","1","1","1"
"20","RL",89.83,10920,"No.alley.access","IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story","6","5","Hip","MetalSd","MetalSd","BrkFace","1","TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf","No",520,1253,"TA","Y","SBrkr",1253,0,"No",1253,"1","0","1","1","2","1","TA","5","Typ","1","Fa","Attchd","RFn","1",352,"TA","TA","Y",0,"Yes","Yes","No","No","GdWo","None","5","WD","Normal","train","5","6","3"
"45","RM",51,6120,"No.alley.access","Reg","Lvl","Corner","Gtl","BrkSide","Norm","1Fam","1.5Unf","7","8","Gable","Wd Sdng","Wd Sdng","None","None","TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf","No",832,832,"Ex","Y","FuseA",854,0,"No",854,"0","0","1","0","2","1","TA","5","Typ","0","No.Fireplace","Detchd","Unf","2",576,"TA","TA","Y",48,"Yes","No","No","No","GdPrv","None","7","WD","Normal","train",">80","2","1"
"20","RL",72.99,11241,"No.alley.access","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story","6","7","Gable","Wd Sdng","Wd Sdng","BrkFace","1","TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf","No",426,1004,"Ex","Y","SBrkr",1004,0,"No",1004,"1","0","1","0","2","1","TA","5","Typ","1","TA","Attchd","Fin","2",480,"TA","TA","Y",0,"No","No","No","No","None","Yes","3","WD","Normal","train","5","5","3"
"90","RL",72,10791,"No.alley.access","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Duplex","1Story","4","5","Gable","MetalSd","MetalSd","None","None","TA","TA","Slab","No.Basement","No.Basement","No.Basement","No.Basement",0,"No.Basement","No",0,0,"TA","Y","SBrkr",1296,0,"No",1296,"0","0","2","0","2","2","TA","6","Typ","0","No.Fireplace","CarPort","Unf","2",516,"TA","TA","Y",0,"No","No","No","No","None","Yes","10","WD","Normal","train","5","5","3"
"20","RL",66,13695,"No.alley.access","Reg","Lvl","Inside","Gtl","SawyerW","RRAe","1Fam","1Story","5","5","Gable","VinylSd","VinylSd","None","None","TA","TA","PConc","TA","TA","No","GLQ",646,"Unf","No",468,1114,"Ex","Y","SBrkr",1114,0,"No",1114,"1","0","1","1","3","1","Gd","6","Typ","0","No.Fireplace","Detchd","Unf","2",576,"TA","TA","Y",0,"Yes","No","No","No","None","None","6","WD","Normal","train","1","1","1"
"20","RL",70,7560,"No.alley.access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","6","Hip","BrkFace","Plywood","None","None","TA","TA","CBlock","TA","TA","No","LwQ",504,"Unf","No",525,1029,"TA","Y","SBrkr",1339,0,"No",1339,"0","0","1","0","3","1","TA","6","Min1","0","No.Fireplace","Attchd","Unf","1",294,"TA","TA","Y",0,"No","No","No","No","MnPrv","None","5","COD","Abnorml","train","5","6","3"
"60","RL",101,14215,"No.alley.access","IR1","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","2Story","8","5","Gable","VinylSd","VinylSd","BrkFace","2","Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf","No",1158,1158,"Ex","Y","SBrkr",1158,1218,"No",2376,"0","0","3","1","4","1","Gd","9","Typ","1","Gd","BuiltIn","RFn","3",853,"TA","TA","Y",240,"Yes","No","No","No","None","None","11","New","Partial","train","1","1","1"
"45","RM",57,7449,"Grvl","Reg","Bnk","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Unf","7","7","Gable","Wd Sdng","Wd Sdng","None","None","TA","TA","PConc","TA","TA","No","Unf",0,"Unf","No",637,637,"Ex","Y","FuseF",1108,0,"No",1108,"0","0","1","0","3","1","Gd","6","Typ","1","Gd","Attchd","Unf","1",280,"TA","TA","N",0,"No","Yes","No","No","GdPrv","None","6","WD","Normal","train",">80",">60",">60"
"20","RL",75,9742,"No.alley.access","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story","8","5","Hip","VinylSd","VinylSd","BrkFace","2","Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf","No",1777,1777,"Ex","Y","SBrkr",1795,0,"No",1795,"0","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","2",534,"TA","TA","Y",171,"Yes","No","No","No","None","None","9","WD","Normal","train","1","1","1"
"120","RM",44,4224,"No.alley.access","Reg","Lvl","Inside","Gtl","MeadowV","Norm","TwnhsE","1Story","5","7","Gable","CemntBd","CmentBd","None","None","TA","TA","PConc","Gd","TA","No","GLQ",840,"Unf","No",200,1040,"TA","Y","SBrkr",1060,0,"No",1060,"1","0","1","0","3","1","TA","6","Typ","1","TA","Attchd","Unf","2",572,"TA","TA","Y",100,"Yes","No","No","No","None","None","6","WD","Normal","train","4","4","2"
"20","RL",69.09,8246,"No.alley.access","IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","8","Gable","Plywood","Plywood","None","None","TA","Gd","CBlock","TA","TA","Mn","Rec",188,"ALQ","Yes",204,1060,"Ex","Y","SBrkr",1060,0,"No",1060,"1","0","1","0","3","1","Gd","6","Typ","1","TA","Attchd","Unf","1",270,"TA","TA","Y",406,"Yes","No","No","No","MnPrv","None","5","WD","Normal","train","5","5","1"
"20","RL",110,14230,"No.alley.access","Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","1Story","8","5","Gable","VinylSd","VinylSd","Stone",">500","Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf","No",1566,1566,"Ex","Y","SBrkr",1600,0,"No",1600,"0","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","3",890,"TA","TA","Y",0,"Yes","No","No","No","None","None","7","WD","Normal","train","1","1","1"
"20","RL",60,7200,"No.alley.access","Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story","5","7","Gable","Wd Sdng","Wd Sdng","None","None","TA","TA","CBlock","TA","TA","Mn","BLQ",234,"Rec","Yes",180,900,"TA","Y","SBrkr",900,0,"No",900,"0","1","1","0","3","1","Gd","5","Typ","0","No.Fireplace","Detchd","Unf","2",576,"TA","TA","Y",222,"Yes","No","No","No","None","None","5","WD","Normal","train","5","1","1"
"20","RL",98,11478,"No.alley.access","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story","8","5","Gable","VinylSd","VinylSd","Stone","1","Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf","No",486,1704,"Ex","Y","SBrkr",1704,0,"No",1704,"1","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","3",772,"TA","TA","Y",0,"Yes","No","No","No","None","None","5","WD","Normal","train","1","1","1"
"20","RL",47,16321,"No.alley.access","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story","5","6","Gable","MetalSd","MetalSd","None","None","TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf","No",207,1484,"TA","Y","SBrkr",1600,0,"No",1600,"1","0","1","0","2","1","TA","6","Typ","2","Gd","Attchd","RFn","1",319,"TA","TA","Y",288,"Yes","No","No","No","None","None","12","WD","Normal","train","5","6","1"
"30","RM",60,6324,"No.alley.access","IR1","Lvl","Inside","Gtl","BrkSide","Feedr","1Fam","1Story","4","6","Gable","MetalSd","MetalSd","None","None","TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf","No",520,520,"Fa","N","SBrkr",520,0,"No",520,"0","0","1","0","1","1","Fa","4","Typ","0","No.Fireplace","Detchd","Unf","1",240,"Fa","TA","Y",49,"No","Yes","No","No","None","None","5","WD","Normal","train",">80",">60",">60"
"70","C (all)",50,8500,"Pave","Reg","Lvl","Inside","Gtl","IDOTRR","Feedr","1Fam","2Story","4","4","Gambrel","BrkFace","BrkFace","None","None","TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf","No",649,649,"TA","N","SBrkr",649,668,"No",1317,"0","0","1","0","3","1","TA","6","Typ","0","No.Fireplace","Detchd","Unf","1",250,"TA","Fa","N",0,"Yes","Yes","No","No","MnPrv","None","7","WD","Normal","train",">80",">60",">60"
"20","RL",66.07,8544,"No.alley.access","IR1","Lvl","CulDSac","Gtl","Sawyer","Norm","1Fam","1Story","5","6","Gable","HdBoard","HdBoard","None","None","TA","TA","CBlock","TA","TA","No","Unf",0,"Unf","No",1228,1228,"Gd","Y","SBrkr",1228,0,"No",1228,"0","0","1","1","3","1","Gd","6","Typ","0","No.Fireplace","Attchd","Unf","1",271,"TA","TA","Y",0,"Yes","No","No","No","MnPrv","None","6","WD","Normal","train","5","5","1"
"20","RL",85,11049,"No.alley.access","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story","8","5","Gable","VinylSd","VinylSd","None","None","Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf","No",1234,1234,"Ex","Y","SBrkr",1234,0,"No",1234,"0","0","2","0","3","1","Gd","7","Typ","0","No.Fireplace","Attchd","RFn","2",484,"TA","TA","Y",0,"Yes","No","No","No","None","None","1","WD","Normal","train","1","1","1"
"20","RL",70,10552,"No.alley.access","IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","5","Hip","BrkFace","BrkFace","None","None","TA","TA","CBlock","TA","TA","No","Rec",1018,"Unf","No",380,1398,"Gd","Y","SBrkr",1700,0,"No",1700,"0","1","1","1","4","1","Gd","6","Typ","1","Gd","Attchd","RFn","2",447,"TA","TA","Y",0,"Yes","No","No","No","None","None","4","WD","Normal","train","5","6","3"
"120","RL",60,7313,"No.alley.access","Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story","9","5","Hip","MetalSd","MetalSd","BrkFace","1","Ex","TA","PConc","Ex","TA","No","GLQ",1153,"Unf","No",408,1561,"Ex","Y","SBrkr",1561,0,"No",1561,"1","0","2","0","2","1","Ex","6","Typ","1","Gd","Attchd","Fin","2",556,"TA","TA","Y",203,"Yes","No","No","No","None","None","8","WD","Normal","train","1","1","1"
"60","RL",108,13418,"No.alley.access","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story","8","5","Gable","VinylSd","VinylSd","Stone","1","Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf","No",1117,1117,"Ex","Y","SBrkr",1132,1320,"No",2452,"0","0","3","1","4","1","Gd","9","Typ","1","Gd","BuiltIn","Fin","3",691,"TA","TA","Y",113,"Yes","No","No","No","None","None","9","WD","Normal","train","1","1","1"
"20","RL",112,10859,"No.alley.access","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story","5","5","Gable","VinylSd","VinylSd","None","None","TA","TA","PConc","Gd","TA","No","Unf",0,"Unf","No",1097,1097,"Ex","Y","SBrkr",1097,0,"No",1097,"0","0","1","1","3","1","TA","6","Typ","0","No.Fireplace","Attchd","Unf","2",672,"TA","TA","Y",392,"Yes","No","No","No","None","None","6","WD","Normal","train","2","2","1"
"20","RL",74,8532,"No.alley.access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","6","Hip","Wd Sdng","Wd Sdng","BrkFace",">500","TA","TA","CBlock","TA","TA","No","Rec",1213,"Unf","No",84,1297,"Gd","Y","SBrkr",1297,0,"No",1297,"0","1","1","0","3","1","TA","5","Typ","1","TA","Attchd","Fin","2",498,"TA","TA","Y",0,"No","No","No","No","None","None","10","WD","Normal","train","5","6","2"
"20","RL",68,7922,"No.alley.access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","7","Gable","VinylSd","VinylSd","None","None","TA","Gd","CBlock","TA","TA","No","GLQ",731,"Unf","No",326,1057,"TA","Y","SBrkr",1057,0,"No",1057,"1","0","1","0","3","1","Gd","5","Typ","0","No.Fireplace","Detchd","Unf","1",246,"TA","TA","Y",0,"Yes","No","No","No","None","None","1","WD","Abnorml","train","5","6","1"
"90","RL",65,6040,"No.alley.access","Reg","Lvl","Inside","Gtl","Edwards","Norm","Duplex","1Story","4","5","Gable","AsbShng","Plywood","None","None","TA","TA","PConc","No.Basement","No.Basement","No.Basement","No.Basement",0,"No.Basement","No",0,0,"TA","N","FuseP",1152,0,"No",1152,"0","0","2","0","2","2","Fa","6","Typ","0","No.Fireplace","No.Garage","No.Garage","0",0,"No.Garage","No.Garage","N",0,"No","No","No","No","None","None","6","WD","AdjLand","train","5","No_Garage","3"
"20","RL",84,8658,"No.alley.access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","6","5","Gable","Wd Sdng","Wd Sdng","BrkFace","1","TA","TA","CBlock","TA","TA","No","Rec",643,"Unf","No",445,1088,"Ex","Y","SBrkr",1324,0,"No",1324,"0","0","2","0","3","1","TA","6","Typ","1","TA","Attchd","RFn","2",440,"TA","TA","Y",0,"Yes","No","No","No","GdWo","None","12","WD","Abnorml","train","5","5","3"
"20","RL",115,16905,"No.alley.access","Reg","Lvl","Inside","Gtl","Timber","Norm","1Fam","1Story","5","6","Gable","VinylSd","VinylSd","None","None","TA","Gd","CBlock","TA","TA","Gd","BLQ",967,"Unf","No",383,1350,"Gd","Y","SBrkr",1328,0,"No",1328,"0","1","1","1","2","1","TA","5","Typ","2","Gd","Attchd","RFn","1",308,"TA","TA","P",0,"Yes","No","No","No","None","None","7","WD","Normal","train","5","6","3"
"85","RL",65.48,9180,"No.alley.access","IR1","Lvl","CulDSac","Gtl","SawyerW","Norm","1Fam","SFoyer","5","7","Gable","HdBoard","HdBoard","None","None","TA","TA","CBlock","Gd","TA","Av","ALQ",747,"LwQ","Yes",0,840,"Gd","Y","SBrkr",884,0,"No",884,"1","0","1","0","2","1","Gd","5","Typ","0","No.Fireplace","Attchd","RFn","2",504,"TA","Gd","Y",240,"No","No","No","No","MnPrv","None","12","WD","Normal","train","3","3","2"
"20","RL",58.6,9200,"No.alley.access","IR1","Lvl","CulDSac","Gtl","CollgCr","Norm","1Fam","1Story","5","6","Hip","VinylSd","VinylSd","None","None","TA","TA","CBlock","Gd","TA","Av","LwQ",280,"BLQ","Yes",167,938,"TA","Y","SBrkr",938,0,"No",938,"1","0","1","0","3","1","TA","5","Typ","0","No.Fireplace","Detchd","Unf","1",308,"TA","TA","Y",145,"No","No","No","No","MnPrv","None","7","WD","Normal","train","4","4","2"
"20","RL",70,7945,"No.alley.access","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","6","Gable","BrkFace","Wd Sdng","None","None","TA","TA","CBlock","TA","TA","No","ALQ",179,"BLQ","Yes",465,1150,"Ex","Y","FuseA",1150,0,"No",1150,"1","0","1","0","3","1","TA","6","Typ","0","No.Fireplace","Attchd","RFn","1",300,"TA","TA","Y",0,"No","No","No","No","None","None","5","WD","Normal","train","5","6","3"
"120","RL",61,7658,"No.alley.access","Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story","9","5","Hip","MetalSd","MetalSd","BrkFace","2","Ex","TA","PConc","Ex","TA","No","GLQ",456,"Unf","No",1296,1752,"Ex","Y","SBrkr",1752,0,"No",1752,"1","0","2","0","2","1","Ex","6","Typ","1","Gd","Attchd","RFn","2",576,"TA","TA","Y",196,"Yes","No","No","No","None","None","2","WD","Normal","train","1","1","1"
"50","RL",48,12822,"No.alley.access","IR1","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam","1.5Fin","7","5","Gable","VinylSd","VinylSd","None","None","Gd","TA","PConc","Ex","TA","No","GLQ",1351,"Unf","No",83,1434,"Ex","Y","SBrkr",1518,631,"No",2149,"1","0","1","1","1","1","Gd","6","Typ","1","Ex","Attchd","RFn","2",670,"TA","TA","Y",168,"Yes","No","No","Yes","None","None","8","WD","Abnorml","train","1","1","1"
"20","FV",84,11096,"No.alley.access","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story","8","5","Gable","VinylSd","VinylSd","None","None","Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf","No",1632,1656,"Ex","Y","SBrkr",1656,0,"No",1656,"0","0","2","0","3","1","Gd","7","Typ","0","No.Fireplace","Attchd","RFn","3",826,"TA","TA","Y",0,"Yes","No","No","No","None","None","7","WD","Normal","train","1","1","1"
"190","RM",33,4456,"No.alley.access","Reg","Lvl","Inside","Gtl","OldTown","Norm","2fmCon","2Story","4","5","Gable","MetalSd","MetalSd","None","None","TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf","No",736,736,"Gd","Y","SBrkr",736,716,"No",1452,"0","0","2","0","2","3","TA","8","Typ","0","No.Fireplace","No.Garage","No.Garage","0",0,"No.Garage","No.Garage","N",0,"No","Yes","No","No","None","None","6","New","Partial","train",">80","No_Garage","1"
"20","RL",66,7742,"No.alley.access","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","7","Gable","HdBoard","HdBoard","None","None","TA","TA","CBlock","TA","TA","No","BLQ",763,"Unf","No",192,955,"Ex","Y","SBrkr",955,0,"No",955,"1","0","1","0","3","1","TA","6","Typ","0","No.Fireplace","Attchd","Unf","1",386,"TA","TA","Y",0,"No","No","No","No","MnPrv","None","1","WD","Normal","train","5","5","3"
"60","RL",83.38,13869,"No.alley.access","IR2","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","2Story","6","6","Gable","VinylSd","VinylSd","None","None","TA","TA","PConc","Gd","TA","Av","GLQ",182,"Unf","No",612,794,"Gd","Y","SBrkr",794,676,"No",1470,"0","1","2","0","3","1","TA","6","Typ","0","No.Fireplace","Attchd","Fin","2",388,"TA","TA","Y",0,"Yes","No","No","No","None","None","7","WD","Normal","train","2","2","1"
"50","RM",52,6240,"No.alley.access","Reg","Lvl","Inside","Gtl","BrkSide","Norm","1Fam","1.5Fin","6","6","Gable","Wd Sdng","Wd Sdng","None","None","TA","TA","PConc","TA","TA","No","Unf",0,"Unf","No",816,816,"TA","Y","SBrkr",816,0,"Yes",1176,"0","0","1","0","3","1","TA","6","Typ","1","Gd","Detchd","Unf","2",528,"TA","TA","Y",112,"No","No","No","No","MnPrv","Yes","9","WD","Normal","train","6","3",">60"
"90","RM",110,8472,"No.alley.access","IR2","Bnk","Corner","Mod","IDOTRR","RRNn","Duplex","1Story","5","5","Gable","Wd Sdng","Wd Sdng","None","None","Fa","TA","CBlock","Gd","TA","Gd","LwQ",104,"GLQ","Yes",0,816,"TA","N","SBrkr",816,0,"No",816,"1","0","1","0","2","1","TA","5","Typ","0","No.Fireplace","CarPort","Unf","2",516,"TA","TA","Y",106,"No","No","No","No","None","None","5","WD","Normal","train","5","5","3"
"20","RL",68,50271,"No.alley.access","IR1","Low","Inside","Gtl","Veenker","Norm","1Fam","1Story","9","5","Gable","WdShing","Wd Shng","None","None","Gd","TA","CBlock","Ex","TA","Gd","GLQ",1810,"Unf","No",32,1842,"Gd","Y","SBrkr",1842,0,"No",1842,"2","0","0","1","0","1","Gd","5","Typ","1","Gd","Attchd","Fin","3",894,"TA","TA","Y",857,"Yes","No","No","No","None","None","11","WD","Normal","train","3","3","2"
"80","RL",60,7134,"No.alley.access","Reg","Bnk","Inside","Mod","NAmes","Norm","1Fam","SLvl","5","5","Gable","MetalSd","MetalSd","None","None","TA","TA","CBlock","TA","TA","No","ALQ",384,"Unf","No",0,384,"TA","Y","SBrkr",1360,0,"No",1360,"0","0","1","0","3","1","TA","6","Min1","1","TA","Detchd","Unf","2",572,"TA","TA","Y",0,"Yes","No","No","No","MnPrv","None","2","WD","Normal","train","5","5","3"
